Title,Location,Price,Rooms,Bathrooms,Size
BOOK NOW Apartments in (SULTAN HAITHAM CITY) with 5 Years Payment Plan,"Al Maabilah, Muscat•","OMR 53,922Freehold",1,1,67 SQM
فيلا للبيع، مدينة السلطان هيثم Villa in Sultan Haitham City,"Al Seeb, Muscat•","OMR 227,100Freehold",5,5,412 SQM
Sea View 1BHK Appartment FreeHold Installmentشقة بغرفة نوم واحدة للبيع,"Yiti, Muscat•","OMR 105,647Freehold",1,2,78 SQM
Last Chance| Courtyard Villa at The Sustainable City–Yiti | فيلا للبيع,"Yiti, Muscat•","OMR 236,000Freehold",3,5,252 SQM
تملك محلك ف أول مول ف مسقط هيلز وبالاقساط علي 100 شهر بدون فوائد,"Muscat Hills, Muscat•","OMR 39,750Freehold",15 SQM,N/A,N/A
فيلا للبيع في الوادي الكبير مع الأثاث,"Al Wadi Al Kabir, Muscat•","OMR 165,000Negotiable",9,6,601 SQM
محلات للبيع في الخوض مكان جميل جدا و ممتاز,"Al Khoud, Muscat•","OMR 40,000Non Freehold",26 SQM,N/A,N/A
فيلا للبيع في موقع مميز في المعبيله,"Al Maabilah, Muscat•","OMR 79,000Non Freehold",3,5,600 SQM
Twin villa in Athiba for sale / توين فيلا للبيع في العذيبه,"Azaiba, Muscat•","OMR 168,000Non Freehold",7,6,700 SQM
Villa for sale in Hail north فيلا للبيع في الحيل الشماليه,"Al Hail, Muscat•","OMR 110,000Negotiable",6,4,623 SQM
توين فيلا جميلة للبيع في المسفاة,"Misfah, Muscat•","OMR 90,000Negotiable",5,7,312 SQM
BRAND NEW 2 BHK PENTHOUSE FOR SALE !!,"Ghala, Muscat•","OMR 55,000Non Freehold",2,3,103 SQM
(freehold) 1bhk for sale in muscat hails,"Muscat Hills, Muscat•","OMR 66,000Freehold",1,2,74 SQM
للبيع ارض سكني تجاري بركاء (خرائط بناء مخزن معتمده),"Barka, Al Batinah•","OMR 28,000",300 SQM,N/A,N/A
للبيع بناية في دارسيت مؤجره بالكامل,"Darsait, Muscat•","OMR 185,000Non Freehold",586 SQM,N/A,N/A
شقق راقية للبيع في ولاية العامرات (بناية الميرا),"Al Amarat, Muscat•","OMR 28,000Non Freehold",2,2,95 SQM
للبيع ارض في المنى اول خط من الشارع الرئيسي جنب مسجد عبدالملك,"Bosher, Muscat•","OMR 115,000",415 SQM,N/A,N/A
Buying a villa with 10% down payment for 4 bedrooms,"Yiti, Muscat•","OMR 277,000Freehold",4,6,285 SQM
Modern Apartment for Sale in Muscat | شقة حديثة للبيع في مسقط,"Yiti, Muscat•","OMR 127,900Freehold",2,3,120 SQM
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"The Wave (Almouj), Muscat•","OMR 137,000Freehold",2,2,126 SQM
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"Muscat Hills, Muscat•","OMR 63,000Freehold",1,2,95 SQM
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"Sultan Haitham City, Muscat•","OMR 46,627Freehold",Studio,1,75 SQM
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"Muscat Hills, Muscat•","OMR 76,000Freehold",2,3,118 SQM
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"Yiti, Muscat•","OMR 260,000Freehold",3,3,125 SQM
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•","OMR 70,000Freehold",2,3,110 SQM
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","Muscat Hills, Muscat•","OMR 63,800Freehold",1,1,100 SQM
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,"Muscat Hills, Muscat•","OMR 70,000Freehold",2,2,100 SQM
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,"Bosher, Muscat•","OMR 52,000Non Freehold",2,2,112.28 SQM
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat","The Wave (Almouj), Muscat•","OMR 110,000Freehold",1,1,95 SQM
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach","The Wave (Almouj), Muscat•","OMR 83,000Freehold",1,1,70 SQM
For Sale: Prime Land in Ghala,"Ghala, Muscat•","OMR 3,000,000","16,300 SQM",N/A,N/A
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,"Al Duqum, Al Wusta•","OMR 24,000Freehold",1,2,40 SQM
توين فيلا للبيع في حي الكوثر الخوض,"Al Khoud, Muscat•","OMR 118,000Non Freehold",6,7,300 SQM
منزل للبيع في المعبيلة الجنوبية حي العز,"Al Maabilah, Muscat•","OMR 68,000Non Freehold",4,4,226 SQM
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,"The Wave (Almouj), Muscat•","OMR 120,000Freehold",2,2,127 SQM
Twin Villa for Sale Soor Al Hadid,"Al Seeb, Muscat•","OMR 87,000Freehold",5,7,378 SQM
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,"The Wave (Almouj), Muscat•","OMR 230,000Freehold",2,2,157 SQM
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,"Al Maabilah, Muscat•","OMR 30,000Non Freehold",2,2,101 SQM
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,"Al Maabilah, Muscat•","OMR 36,500Non Freehold",3,3,126 SQM
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,"Al Maabilah, Muscat•","OMR 55,000Non Freehold",2,3,531 SQM
شقة سكنية للبيع ف المعبيلة حي الرحبة قريب مدرسة منار الحكمة,"Al Maabilah, Muscat•","OMR 25,500Non Freehold",3,3,101 SQM
منزل مستقل للبيع في المعبيلة مقابل جامع السلطان تيمور بن فيصل,"Al Maabilah, Muscat•","OMR 66,000Non Freehold",3,4,509 SQM
فيلا بجودة بناء عالية للبيع في مرتفعات الأنصب,"Ansab, Muscat•","OMR 205,000Non Freehold",4,6,405 SQM
فيلا للبيع في الخوض السادسة,"Al Khoud, Muscat•","OMR 160,000Non Freehold",6,7,300 SQM
شقة للبيع في مرتفعات المطار غلا – بسعر لا يفوت ابتداء من 26 ألف ريال,"Ghala, Muscat•","OMR 26,000Non Freehold",1,2,60 SQM
Villa fo sale with 3 bedrooms- فيلا للبيع بثلاث غرف نوم,"Yiti, Muscat•","OMR 238,000Negotiable",3,4,237.54 SQM
Apartment in Muscat for Sale- شقة في مسقط للبيع,"Yiti, Muscat•","OMR 128,000Negotiable",2,3,120 SQM
Villa For Sale- 3 Bedroom Villa,"Yiti, Muscat•","OMR 254,000Negotiable",3,4,257.79 SQM
مكاتب قيد الانشاء للبيع - المعبيلة| Off plan offices for sale,"Al Maabilah, Muscat•","OMR 25,000Negotiable",65 SQM,N/A,N/A
Amazing 1 BHK Apartment in Uptown |شقة غرفة وصالة في أب تاون ّFreeHold,"Al Khoud, Muscat•","OMR 59,016Freehold",1,2,83 SQM
Exclusive 2 BHK Marina View | شقة راقية في يتي - Sustainable City Yiti,"Yiti, Muscat•","OMR 166,570Freehold",2,3,121 SQM
1 BHK FreeHold Appartment uptow 15% down payment 44 Month Installment,"Al Seeb, Muscat•","OMR 72,223Freehold",1,1,102 SQM
شقة دوبلكس جديدة كليًا في العذيبة – موقع مميز  FSA83,"Azaiba, Muscat•","OMR 58,000Non Freehold",2,3,103 SQM
