Title,Location,Price,Rooms,Bathrooms,Size
ارضين شبك زراعيه في بركاء مخطط البله فرصه لإقامة استراحه عائليه,"Barka, Al Batinah•","OMR 16,500","1,222 SQM",N/A,N/A
"Heating, Central Air Conditioning, Air Conditioning, Double Glazed Win","Nizwa, Al Dakhiliya•","OMR 55,000Non Freehold",6,6,670 SQM
المصنعه الملده الثامنه موقع ممتازخلف مركزشرطة المصنعه,"Al Masn'a, Al Batinah•","OMR 4,200",616 SQM,N/A,N/A
للبيع ارض سكنية في العامرات مدينة النهضه,"Al Amarat, Muscat•","OMR 18,500",600 SQM,N/A,N/A
للبيع ارض سكني في العامرات,"Al Amarat, Muscat•","OMR 17,500",600 SQM,N/A,N/A
العامرات مربع 18,"Al Amarat, Muscat•","OMR 7,900",600 SQM,N/A,N/A
ولاية بركاء الفليج المعمورة,"Barka, Al Batinah•","OMR 12,500",690 SQM,N/A,N/A
للبيع ارض سكنية في النهضة العامرات مربع 14,"Al Amarat, Muscat•","OMR 14,500",600 SQM,N/A,N/A
للبيع ارض سكنية في النهضة العامرات مربع 14,"Al Amarat, Muscat•","OMR 14,500",600 SQM,N/A,N/A
farm and shops for sell togther,"Al Qabil, Al Sharqiya•","OMR 58,000Non Freehold","6,050 SQM",N/A,N/A
العامرات- بعي كورنر في وتبعد 250 متر من الشارع القار,"Al Amarat, Muscat•","OMR 3,650",600 SQM,N/A,N/A
ارض سكنية في العامرات الثانيه,"Al Amarat, Muscat•","OMR 45,000",613 SQM,N/A,N/A
ولاية بركاء القريحة الثامنة,"Barka, Al Batinah•","OMR 5,500",600 SQM,N/A,N/A
بركاء القريحه الجديده قريب من عدة استراحات مثل استراحه المزن والفا,"Barka, Al Batinah•","OMR 6,500",648 SQM,N/A,N/A
ارض سكنية في مدينة النهضه,"Al Amarat, Muscat•","OMR 46,000",600 SQM,N/A,N/A
"Pharmacy, Supermarket, Bank / ATM, Mall / Shopping Center, Parking, Re","Barka, Al Batinah•","OMR 11,000",600 SQM,N/A,N/A
ارض سكنية سوبر كورنر في المعبيلة الجنوبية,"Al Maabilah, Muscat•","OMR 68,000",707 SQM,N/A,N/A
ارض سكني تجاري في المعبيلة الصناعية للبيع,"Al Maabilah, Muscat•","OMR 150,000",750 SQM,N/A,N/A
العامرات الامتداد الأول,"Al Amarat, Muscat•","OMR 7,500",600 SQM,N/A,N/A
ارض سكنية في المعبيله الجنوبية سوبر كورنر تنفع لعمل توين فيلا,"Al Maabilah, Muscat•","OMR 60,000",640 SQM,N/A,N/A
ارض سكنية جميله موقعها مميز في بوشر,"Bosher, Muscat•","OMR 220,000","1,000 SQM",N/A,N/A
land in barka,"Barka, Al Batinah•","OMR 25,500",600 SQM,N/A,N/A
ارض سكنية جميله موقعها مميز في الانصب,"Ansab, Muscat•","OMR 140,000",600 SQM,N/A,N/A
ارض سكنية في فلج الشام,"Ansab, Muscat•","OMR 90,000",600 SQM,N/A,N/A
big home in massana for sell,"Al Masn'a, Al Batinah•","OMR 55,000Negotiable",6,5,"1,027 SQM"
ارض سكنية في بوشر السادسة,"Bosher, Muscat•","OMR 90,000",500 SQM,N/A,N/A
ارض سكنية في مرتفعات العامرات للبيع,"Al Amarat, Muscat•","OMR 33,000",600 SQM,N/A,N/A
ارض للبيع في العامرات الحشية,"Al Amarat, Muscat•","OMR 7,000",626 SQM,N/A,N/A
"Bus Station, Mosque, School, Gym, Dry Clean, Bank / ATM, Hospital, Pha","Salalah, Dhofar•","OMR 6,500Non Freehold","2,000 SQM",N/A,N/A
بركاء القريحه السادسه مزرعة الطأووس,"Barka, Al Batinah•","OMR 4,900",609 SQM,N/A,N/A
العامرات جحلوت الاولى لارض فرصه رابع خط من الشارع القار الرئيسي,"Al Amarat, Muscat•","OMR 6,500",600 SQM,N/A,N/A
العامرات بعي الارض فرصه مقابل مسجد الفردوس وقريب الشارع العام,"Al Amarat, Muscat•","OMR 3,500",600 SQM,N/A,N/A
العامرات جحلوت الاولى الارض فرصه ملاصقه لمنزل جاهزوثاني,"Al Amarat, Muscat•","OMR 5,900",600 SQM,N/A,N/A
العامرات مربع 18,"Al Amarat, Muscat•","OMR 11,900",600 SQM,N/A,N/A
free land in smail,"Sumail, Al Dakhiliya•","OMR 22,000Negotiable",600 SQM,N/A,N/A
بركاء الحفري الخامسه الارض فرصه ملاصقه مخطط الدهس وقريب من منازل جاهزة,"Barka, Al Batinah•","OMR 6,500",605 SQM,N/A,N/A
محوت مخطط حج10,"Mahut, Al Wusta•","OMR 1,900",600 SQM,N/A,N/A
تجاريه ولاية ثمريت المطهفه,"Thumrait, Dhofar•","OMR 4,200",400 SQM,N/A,N/A
العامرات الحشيه الثانيه,"Al Amarat, Muscat•","OMR 5,900",600 SQM,N/A,N/A
شقة للبيع بالحيل الجنوبية,"Al Hail, Muscat•","OMR 26,000Non Freehold",2,3,78 SQM
"Jacuzzi, Central Air Conditioning, Balcony, Laundry Room, Installed Ki","Ghala, Muscat•","OMR 26,000Negotiable",1,2,60 SQM
استراحة في موقع مميز جدًا للبيع,"Barka, Al Batinah•","OMR 78,500Non Freehold",2,5,150 SQM
للبيع ارض في السيفة وفيها بيت قديم قابل الاستفادة والتطوري,"Al Sifah, Muscat•","OMR 87,000",347 SQM,N/A,N/A
"Parking, Pharmacy, Restaurant","Bidbid, Al Dakhiliya•","OMR 3,000Non Freehold",25 SQM,N/A,N/A
Whole Building for Sale,"Ruwi, Muscat•","OMR 900,000Non Freehold",400 SQM,N/A,N/A
"School, Restaurant, Mall / Shopping Center, Pharmacy, Bank / ATM","Al Khuwair, Muscat•","OMR 12,000Freehold",60 SQM,N/A,N/A
Restaurants & Cafes for Sale,"Yunqul, Al Dhahirah•","OMR 2,000Non Freehold",80 SQM,N/A,N/A
al hail south,"Al Hail, Muscat•","OMR 8,000Negotiable",60 SQM,N/A,N/A
"Supermarket, Mosque","Al Buraimi, Al Buraimi•","OMR 29,500Non Freehold",3,3,630 SQM
"Central Air Conditioning, Heating","Al Seeb, Muscat•","OMR 9,500Non Freehold",400 SQM,N/A,N/A
sell shop,"Al Khoud, Muscat•","OMR 1,000Freehold",10 SQM,N/A,N/A
"Mall / Shopping Center, Mosque, Bus Station, Gym, Bank / ATM, Dry Clea","Salalah, Dhofar•","OMR 12,000",300 SQM,N/A,N/A
فرصه مميزه للبناء والاستثمار في ولاية ابراء الارض كورنر على شارعين قار,"Ibra, Al Sharqiya•","OMR 13,500",864 SQM,N/A,N/A
Plastic recycling plant for sale with two small and large plastic crus,"Al Amarat, Muscat•","OMR 6,000Non Freehold",600 SQM,N/A,N/A
العامرات جحلوت الاولى,"Al Amarat, Muscat•","OMR 4,700",600 SQM,N/A,N/A
ارض  سكني تجاري للبيع في المعبيله السابعه,"Al Maabilah, Muscat•","OMR 150,000",500 SQM,N/A,N/A
مطعم و مقهى لبناني كامل التجهيزات في موقع مميز في شارع الخوض شغال بمدخ,"Al Khoud, Muscat•","OMR 25,000Non Freehold",135 SQM,N/A,N/A
"Hospital, Bus Station, Pharmacy, Mosque, School, Restaurant, Supermark","Nizwa, Al Dakhiliya•","OMR 70,000",750 SQM,N/A,N/A
"A plot of land in northern Awqad, with an area of 600 square meters. I","Salalah, Dhofar•","OMR 24,000",600 SQM,N/A,N/A
boushar . muscut,"Bosher, Muscat•","OMR 240,000",616 SQM,N/A,N/A
محوت مخطط حج 10 الارض فرصه وسط الخدمات وخلف الحديقه العامه,"Mahut, Al Wusta•","OMR 1,900",600 SQM,N/A,N/A
"Central Air Conditioning, Oven, Refrigerator, Microwave, Installed Ki","Bosher, Muscat•","OMR 5,000Non Freehold",100 SQM,N/A,N/A
ارضين شبك المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•","OMR 7,100","1,222 SQM",N/A,N/A
فرصة استثمارية – مزرعة للبيع في النباغ,"Izki, Al Dakhiliya•","OMR 65,000Non Freehold",2,1,"13,393 SQM"
فرصة استثمارية – مزرعة للبيع في النباغ,"Izki, Al Dakhiliya•","OMR 65,000Non Freehold",2,1,"13,393 SQM"
فيلا للبيع في,"Al Amarat, Muscat•","OMR 50,000Non Freehold",3,5,600 SQM
اجعل حلمك يتحقق وامتلك ارضك بقرب البحر السيفه عينك على التفاصيل,"Al Sifah, Muscat•","OMR 26,000",600 SQM,N/A,N/A
فيلا جديده في الحاجر للبيع,"Al Amarat, Muscat•","OMR 53,000Non Freehold",3,4,600 SQM
ارض للبيع سكنيه في العامرات المحج,"Al Amarat, Muscat•","OMR 43,000",558 SQM,N/A,N/A
ارض للبيع في صحم,"Saham, Al Batinah•","OMR 12,000",602 SQM,N/A,N/A
ارض للبيع في العامرات,"Al Amarat, Muscat•","OMR 19,500",600 SQM,N/A,N/A
"Installed Kitchen, Electric Shutters, Balcony, Maid Room, Laundry Room","Al Seeb, Muscat•","OMR 135,000Non Freehold",6,6,401 SQM
ارضين شبك المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•","OMR 7,100","1,222 SQM",N/A,N/A
ارضين شبك المصنعه النهضه جنوب المرحله,"Al Masn'a, Al Batinah•","OMR 7,400","1,236 SQM",N/A,N/A
فيلا للبيع في العامرات,"Al Amarat, Muscat•","OMR 77,000Non Freehold",5,7,355.7 SQM
ارضين شبك المصنعه النهضه جنوب المرحله الثانيه,"Al Masn'a, Al Batinah•","OMR 7,100","1,236 SQM",N/A,N/A
فرصة لبناء استراحتك الخاصة بمساحة كبيرة 1005متروتبعد عن مسقط ٤٠ دقيقة,"Al Masn'a, Al Batinah•","OMR 9,500","1,005 SQM",N/A,N/A
بركاء الصومحان,"Barka, Al Batinah•","OMR 18,500",600 SQM,N/A,N/A
ارضين شبك المصنعه النهضه جنوب المرحله الثالثه شارع خط الغاز,"Al Masn'a, Al Batinah•","OMR 7,000","1,200 SQM",N/A,N/A
ولاية العامرات المحج وبسعر مميزه جدا سارع بالحجز,"Al Amarat, Muscat•","OMR 19,000",300 SQM,N/A,N/A
المضيبي مخطط العيون الارض ثالث خط من الشارع المزدوج وقريب من مركزصحي,"Al Mudaibi, Al Sharqiya•","OMR 2,200",600 SQM,N/A,N/A
تجاري ولايه ثمريت الخطوط الاولى تجاريه في ثمريت موقع مميز وبسعر مميز,"Thumrait, Dhofar•","OMR 9,500",257 SQM,N/A,N/A
سكني تجاري ولايه ثمريت  ثمريت المربع التجاري وباقل من سعر السوق,"Thumrait, Dhofar•","OMR 4,600",200 SQM,N/A,N/A
المصنعه برج ال خميس الارض قريب من استراحه بيت الانوارواستراحة الأريج,"Al Masn'a, Al Batinah•","OMR 3,600",600 SQM,N/A,N/A
al batnah,"Barka, Al Batinah•","OMR 77,000Non Freehold",5,6,600 SQM
أرض في ولاية المضيبي الشبيكه مع توفر الخدمات وبسعر مميز,"Al Mudaibi, Al Sharqiya•","OMR 2,500",600 SQM,N/A,N/A
زاوية ع شارع وسكة في الحاجر الاولى العامرات- الحاجر الاولى,"Al Amarat, Muscat•","OMR 6,900",600 SQM,N/A,N/A
"Parking, School, Bank / ATM, Gym, Pharmacy, Mosque, Restaurant","Barka, Al Batinah•","OMR 17,000Non Freehold",150 SQM,N/A,N/A
الارض وسط الخدمات وخلف مركز الشرطه مباشره المصنعه الماده الثامنه,"Al Masn'a, Al Batinah•","OMR 6,200",614 SQM,N/A,N/A
مطعم عربي للبيع – فرصة استثمارية جاهزة الموقع: شارع البركات الرئيسي,"Al Seeb, Muscat•","OMR 30,000Non Freehold",130 SQM,N/A,N/A
شقة فاخرة بأقل سعر في مسقط هيلز  مع إقامة دائمة … فرصة لن تتكرر,"Muscat Hills, Muscat•","OMR 47,000Freehold",1,1,49 SQM
للبيع توين فيلا بالموالح الجنوبية لكل فيلا 115,"Al Mawaleh, Muscat•","OMR 115,000Non Freehold",3,3,300 SQM
للبيع أرض سكنية في العامرات / سمكت,"Al Amarat, Muscat•","OMR 3,800",600 SQM,N/A,N/A
للبيع أرض سكنية في ولاية العامرات / مرتفعات الثانية,"Al Amarat, Muscat•","OMR 99,000","1,200 SQM",N/A,N/A
ارض للبيع في بركاء,"Barka, Al Batinah•","OMR 11,000",611 SQM,N/A,N/A
الارض فرصه رابع خط من الشارع القاروخلف المحلات التجاريه محوت حج 9,"Mahut, Al Wusta•","OMR 1,750",600 SQM,N/A,N/A
ولاية مصنعه  مربع وادي العيص  شمال  رقم الارض  1  مساحه الارض 600,"Al Masn'a, Al Batinah•","OMR 5,500",600 SQM,N/A,N/A
"Staircase, Facilities for the Disabled","Ruwi, Muscat•","OMR 25,000Non Freehold",4,2,148 SQM
أرض للبيع في المضيبي الافلاج,"Al Mudaibi, Al Sharqiya•","OMR 2,800","3,000 SQM",N/A,N/A
"Bus Station, Hospital, Mosque, School, Bank / ATM, Restaurant, Superma","Mahut, Al Wusta•","OMR 2,400",600 SQM,N/A,N/A
ارض سكني للبيع في العامرات,"Al Amarat, Muscat•","OMR 16,500",603 SQM,N/A,N/A
"Facilities for the Disabled, Garden, Garage Parking, Security, Storage","Barka, Al Batinah•","OMR 95,000Non Freehold",3,5,"1,260 SQM"
"House for sale on the seafront, 20 meters from the coastline and 300 m","Barka, Al Batinah•","OMR 47,000Non Freehold",367 SQM,N/A,N/A
للبيع منزل طابقين خط أول مخطط الأول 243 مرتفعات البريك جميع الخدمات,"Al Khaboura, Al Batinah•","OMR 48,000Non Freehold",6,6,300 SQM
للبيع ارض بالعامرات الحشية,"Al Amarat, Muscat•","OMR 6,300",600 SQM,N/A,N/A
"Nearby  Bank / ATM, School, Gym, Mosque, Restaurant","Ibra, Al Sharqiya•","OMR 80,000Non Freehold","1,000 SQM",N/A,N/A
للبيع ارض في بوشر الانصب,"Ansab, Muscat•","OMR 48,000",300 SQM,N/A,N/A
للبيع ارض سكنية في العامرات عدن,"Al Amarat, Muscat•","OMR 14,000",600 SQM,N/A,N/A
"Supermarket, Hospital, Mosque, Restaurant, Schoo","Sohar, Al Batinah•","OMR 28,000Non Freehold",200 SQM,N/A,N/A
ارض للبيع في المعبيلة الرابعه,"Al Maabilah, Muscat•","OMR 52,000",600 SQM,N/A,N/A
"Main Amenities  Air Conditioning, Maid Room, Laundry Room, Double Glaz","Bahla, Al Dakhiliya•","OMR 150,000Non Freehold",5,6,"5,000 SQM"
Townhouses for Sale,"Barka, Al Batinah•","OMR 78,000Non Freehold",5,5,600 SQM
للبيع منزل سكني راقي وجاهز للسكن الفوري في المعبيلة,"Al Maabilah, Muscat•","OMR 70,000Non Freehold",3,5,417 SQM
"nstalled Kitchen, Laundry Room  Additional Amenities  Storage, Stairca","Al Maabilah, Muscat•","OMR 29,300Non Freehold",3,4,118 SQM
"Direct from the owner  Al-Musannah, Al-Nahda Governorate  Phase Two  A","Al Masn'a, Al Batinah•","OMR 7,400","1,222 SQM",N/A,N/A
Residential and commercial land for sale  Location: Samayil Governorat,"Sumail, Al Dakhiliya•","OMR 38,500Negotiable",748 SQM,N/A,N/A
"Nearby  Supermarket, Bus Station, Mosque","Barka, Al Batinah•",OMR 400,900 SQM,N/A,N/A
"Land for sale in Al-Saih Al-Ahmar, close to the nursery, close to the","Bidbid, Al Dakhiliya•","OMR 30,000",635 SQM,N/A,N/A
ارض للبيع في المضيبي,"Al Mudaibi, Al Sharqiya•","OMR 12,000","5,000 SQM",N/A,N/A
ارض للبيع في عبري,"Ibri, Al Dhahirah•","OMR 10,000",600 SQM,N/A,N/A
ارض للبيع في الجاهلي ولايه عبري,"Ibri, Al Dhahirah•","OMR 7,000",685 SQM,N/A,N/A
ارض للبيع في العامرات,"Al Amarat, Muscat•","OMR 14,000",600 SQM,N/A,N/A
فلتان للبيع في الخوض السابعة,"Al Khoud, Muscat•","OMR 167,000Non Freehold",6,6,331 SQM
"Pharmacy, Bus Station, School, Hospital, Bank / ATM, Mosque, Dry Clean","Al Maabilah, Muscat•","OMR 49,000",600 SQM,N/A,N/A
سكني طاقة,"Taqah, Dhofar•","OMR 13,500",550 SQM,N/A,N/A
ارض سكنية من المالك مباشرة,"Al Rustaq, Al Batinah•","OMR 15,000",617 SQM,N/A,N/A
"Nearby  School, Supermarket, Dry Clean","Al Seeb, Muscat•","OMR 39,000",528 SQM,N/A,N/A
للبيع أرض صناعية  ولاية عبري,"Ibri, Al Dhahirah•","OMR 33,000","1,000 SQM",N/A,N/A
للبيع ‏أرض زراعية * *ولاية عبري,"Ibri, Al Dhahirah•","OMR 85,000","47,579 SQM",N/A,N/A
ارض في صحنلوت مربع,"Taqah, Dhofar•","OMR 22,000",600 SQM,N/A,N/A
ارض سكنية كورنر للبيع,"Al Amarat, Muscat•","OMR 15,000",632 SQM,N/A,N/A
ارض زراعية للبيع,"Salalah, Dhofar•","OMR 280,000","12,712 SQM",N/A,N/A
"Bank / ATM, Mosque, Dry Clean, Restaurant, Supermarket, Parking, Gym,","Ruwi, Muscat•","OMR 115,000Freehold",735 SQM,N/A,N/A
"Parking, Supermarket, Dry Clean, Bank / ATM","Bosher, Muscat•","OMR 12,500Negotiable",55 SQM,N/A,N/A
للبيع ارض سكنية كورنر في العامرات / مرتفعات,"Al Amarat, Muscat•","OMR 52,000",663 SQM,N/A,N/A
al kould market,"Al Khoud, Muscat•","OMR 1,500Freehold",40 SQM,N/A,N/A
"Bank / ATM, School, Mosque, Restaurant, Parking, Supermarket","Al Rustaq, Al Batinah•","OMR 29,000","1,780 SQM",N/A,N/A
"Supermarket, School, Mall / Shopping Center, Mosque, Dry Clean, Bank /","Al Qabil, Al Sharqiya•","OMR 7,500","1,200 SQM",N/A,N/A
"Mosque, Supermarket, Gym, Bank / ATM, Pharmacy, Restaurant","Suwaiq, Al Batinah•","OMR 27,000Freehold",2,2,602 SQM
"Gym, Supermarket, Hospital, Mall / Shopping Center, Mosque, Parking, B","Al Ghubrah, Muscat•","OMR 2,000Negotiable",40 SQM,N/A,N/A
ارض ركنية قبل خط الغاز,"Saham, Al Batinah•","OMR 9,500",705 SQM,N/A,N/A
"For sale, a residential plot of land in an excellent location, the fir","Al Buraimi, Al Buraimi•","OMR 5,500",664 SQM,N/A,N/A
للبيع ارض سكني تجاري في المعبيله السابعة بجانب نيستو,"Al Maabilah, Muscat•","OMR 137,000",500 SQM,N/A,N/A
شقة للبيع في المعبيله الثامنة,"Al Maabilah, Muscat•","OMR 25,000Non Freehold",3,3,151 SQM
للبيع ارض سكني تجاري في الموالح الجنوبية,"Al Mawaleh, Muscat•","OMR 110,000",438 SQM,N/A,N/A
ارض للبيع في بركاء الفليج,"Barka, Al Batinah•","OMR 9,800",587 SQM,N/A,N/A
للبيع أراضي مخطط حي عاصم الساحلي لمحبي التميز,"Barka, Al Batinah•","OMR 31,000",600 SQM,N/A,N/A
AL MOUJ LATEST LAUNCH AZURA | فرصة إستثمارية احجز عقارك الآن,"The Wave (Almouj), Muscat•","OMR 78,000Freehold",1,1,70 SQM
للبيع ارض في عبري مرتفعات,"Ibri, Al Dhahirah•","OMR 15,000","1,313 SQM",N/A,N/A
للبيع ارض في عبري الطيب,"Ibri, Al Dhahirah•","OMR 3,500",600 SQM,N/A,N/A
ارض للبيع في عبري,"Ibri, Al Dhahirah•","OMR 5,000",600 SQM,N/A,N/A
ارض للبيع في عبري,"Ibri, Al Dhahirah•","OMR 4,500",600 SQM,N/A,N/A
ارض للبيع في عبري,"Ibri, Al Dhahirah•","OMR 15,000",204 SQM,N/A,N/A
للبيع ارض سكنية في البريمي العقدة,"Al Buraimi, Al Buraimi•","OMR 4,200",874 SQM,N/A,N/A
ارض للبيع في مخطط الهبوبية السواقم قريات,"Qurayyat, Muscat•","OMR 15,000",761 SQM,N/A,N/A
للبيع ارض في بركاء الفاغرة,"Barka, Al Batinah•","OMR 11,000",611 SQM,N/A,N/A
للبيع ارض في السويق,"Suwaiq, Al Batinah•","OMR 5,000",646 SQM,N/A,N/A
ارض سكنيه للبيع في ولاية بركاء,"Barka, Al Batinah•","OMR 16,500",700 SQM,N/A,N/A
ارض في المسفاه,"Misfah, Muscat•","OMR 23,000",300 SQM,N/A,N/A
ارض للبيع في العامرات,"Al Amarat, Muscat•","OMR 55,000",700 SQM,N/A,N/A
للبيع ارض في السيب,"Al Seeb, Muscat•","OMR 95,000",609 SQM,N/A,N/A
ارض للبيع في العامرات,"Al Amarat, Muscat•","OMR 6,300",600 SQM,N/A,N/A
ارض للبيع في الأنصب,"Ansab, Muscat•","OMR 86,000",400 SQM,N/A,N/A
ارض في العامرات للبيع,"Al Amarat, Muscat•","OMR 5,000",620 SQM,N/A,N/A
ارض للبيع في العامرات,"Al Amarat, Muscat•","OMR 4,800",600 SQM,N/A,N/A
أرض سكنية على زاوية للبيع – بركاء، الشخاخيط,"Barka, Al Batinah•","OMR 19,000",300 SQM,N/A,N/A
أرض سكنية كورنر للبيع – بركاء، الشخاخيط,"Barka, Al Batinah•","OMR 19,000",300 SQM,N/A,N/A
ارض سكنية وسطية للبيع في المنومة الشمالية بمساحة 554 م,"Al Seeb, Muscat•","OMR 30,900",554 SQM,N/A,N/A
ارض سكني تجاري للبيع في العامرات المرحلة الأولى,"Al Amarat, Muscat•","OMR 100,000",400 SQM,N/A,N/A
ارض سكني تجاري في المعبيلة الثامنة بقرب الجامعة الالمانية والكليات,"Al Maabilah, Muscat•","OMR 150,000",500 SQM,N/A,N/A
للبيع منزل راقٍ بتصميم كويتي مميز في قلب العامرات – فرصة ذهبية لا تُفو,"Al Amarat, Muscat•","OMR 95,000",633 SQM,N/A,N/A
للبيع أرض سكنية في العامرات / عدن,"Al Amarat, Muscat•","OMR 14,000","1,719 SQM",N/A,N/A
فيلا من توين في العامرات  مرتفعات العامرات الثانية,"Al Amarat, Muscat•","OMR 69,000Non Freehold",6,7,429 SQM
العامرات - جحلوت الاولى,"Al Amarat, Muscat•","OMR 6,500",600 SQM,N/A,N/A
العامرات - جحلوت,"Al Amarat, Muscat•","OMR 5,500",600 SQM,N/A,N/A
مدينة النهضة - مربع 16,"Al Amarat, Muscat•","OMR 10,900",600 SQM,N/A,N/A
3 اراضي للبيع في الخوض 5 حي الكوثر مواقع ممتاز وسط جميع الخدمات,"Al Khoud, Muscat•","OMR 88,000",750 SQM,N/A,N/A
قريات - حي الظاهر (الكريب),"Qurayyat, Muscat•","OMR 17,800",501 SQM,N/A,N/A
بركاء - الفليج المعمورة,"Barka, Al Batinah•","OMR 14,800",600 SQM,N/A,N/A
بركاء - الفليج المعمورة,"Barka, Al Batinah•","OMR 13,500",630 SQM,N/A,N/A
بركاء - الفليج المعمورة,"Barka, Al Batinah•","OMR 13,500",600 SQM,N/A,N/A
أراضي في الفليج المعمورة  أنا المالك | يُسمح بالنشر,"Barka, Al Batinah•","OMR 11,800",690 SQM,N/A,N/A
قطعة ارض مساحتها 611,"Al Masn'a, Al Batinah•","OMR 10,000",600 SQM,N/A,N/A
ولاية العامرات - أنا المالك,"Al Amarat, Muscat•","OMR 55,000",700 SQM,N/A,N/A
للبيع أرض  سكني تجاري  *ولاية عبري الجبيه,"Ibri, Al Dhahirah•","OMR 100,000","1,991 SQM",N/A,N/A
للبيع ارض سكنية في العامرات النهضه,"Al Amarat, Muscat•","OMR 15,500",600 SQM,N/A,N/A
محل ورد جاهز مجهز للبيع,"Bahla, Al Dakhiliya•","OMR 3,800Non Freehold",35 SQM,N/A,N/A
منزل حي الرفعة20,"Sohar, Al Batinah•","OMR 24,000Non Freehold",2,2,600 SQM
للبيع ارض في العامرات جحلوت,"Al Amarat, Muscat•","OMR 8,000",600 SQM,N/A,N/A
للبيع ارض سكنيه في العامرات,"Al Amarat, Muscat•","OMR 14,000",300 SQM,N/A,N/A
ارض للبيع في الأنصب,"Ansab, Muscat•","OMR 86,000",400 SQM,N/A,N/A
ارض للبيع في العامرات مربع18,"Al Amarat, Muscat•","OMR 13,000",600 SQM,N/A,N/A
ارض سكنيه للبيع في العامرات,"Al Amarat, Muscat•","OMR 38,000","1,079 SQM",N/A,N/A
ارض للبيع في العامرات المحج,"Al Amarat, Muscat•","OMR 33,000",340 SQM,N/A,N/A
ارض للبيع في قريات,"Qurayyat, Muscat•","OMR 2,000",300 SQM,N/A,N/A
ارض للبيع في العامرات التاسعة,"Al Amarat, Muscat•","OMR 42,000",900 SQM,N/A,N/A
ارض في العامرات مدينة النهضه,"Al Amarat, Muscat•","OMR 8,200",600 SQM,N/A,N/A
للبيع ارض في العامرات,"Al Amarat, Muscat•","OMR 15,000",300 SQM,N/A,N/A
ارض للبيع في العامرات النهضة,"Al Amarat, Muscat•","OMR 15,000",618 SQM,N/A,N/A
مزرعة في العوينات للبيع,"Sohar, Al Batinah•","OMR 205,000","7,235 SQM",N/A,N/A
فله للبيع   العامرات الحاجر   |  العلايه | بالقرب من الخدمات     فر,"Al Amarat, Muscat•","OMR 69,000Non Freehold",4,4,320 SQM
شقة للبيع في الموج مسقط - المشروع مباشرة على البحر الاسعار اقل الان,"The Wave (Almouj), Muscat•","OMR 78,000Freehold",1,1,72 SQM
ارض للبيع في ساحل قريات,"Qurayyat, Muscat•","OMR 12,000",654 SQM,N/A,N/A
للبيع ارض سكنية في الرميس,"Barka, Al Batinah•","OMR 15,000",399 SQM,N/A,N/A
للبيع ارض في العامرات العتكية,"Al Amarat, Muscat•","OMR 14,000",400 SQM,N/A,N/A
للبيع ارض سكني تجاري في صحم,"Saham, Al Batinah•","OMR 95,000","1,437 SQM",N/A,N/A
ارض للبيع كورنر في المسفاة,"Misfah, Muscat•","OMR 23,000",300 SQM,N/A,N/A
ارض للبيع في المسفاه,"Misfah, Muscat•","OMR 23,000",300 SQM,N/A,N/A
ارض للبيع في العوابي,"Al 'Awabi, Al Batinah•","OMR 36,500",300 SQM,N/A,N/A
مخطط حي عاصم في ولاية بركاء للبيع,"Barka, Al Batinah•","OMR 13,500",600 SQM,N/A,N/A
ارض للبيع في العقدة السابعة بركاء,"Barka, Al Batinah•","OMR 8,900",612 SQM,N/A,N/A
للبيع ارض سكنية في بركاء,"Barka, Al Batinah•","OMR 18,500",613 SQM,N/A,N/A
ارض للبيع في العامرات مرتفعات 8/1,"Al Amarat, Muscat•","OMR 52,000",663 SQM,N/A,N/A
بركاء الهرم  مساحة الارض ٦٠٠ متر,"Barka, Al Batinah•","OMR 22,000",600 SQM,N/A,N/A
للبيع أرض سكني تجاري في ولاية العامرات / عدن,"Al Amarat, Muscat•","OMR 29,000",400 SQM,N/A,N/A
للبيع ارض سكنية في العامرات / العتكية,"Al Amarat, Muscat•","OMR 14,000",400 SQM,N/A,N/A
للبيع فيلا مميزة من 3 طوابق – ولاية العامرات (مرتفعات الأولى),"Bosher, Muscat•","OMR 180,000Non Freehold",7,9,570 SQM
قلهات اول خط على بحر,"Sur, Al Sharqiya•","OMR 25,000",600 SQM,N/A,N/A
الفليج المعمورة - بركاء (سوبر كرونر و على الشارع الرئيسي),"Barka, Al Batinah•","OMR 14,800",647 SQM,N/A,N/A
فليج المعمورة - بركاء (شبك)   رقم القطعتين: 204 و 205. اجمالي المساحة,"Barka, Al Batinah•","OMR 31,000","1,260 SQM",N/A,N/A
Spacious 2BHK Apartment in The Pearl – Muscat Hills | 107 sqm,"Muscat Hills, Muscat•","OMR 98,000Negotiable",2,3,107 SQM
أرض سكنية للبيع في العراقي د,"Ibri, Al Dhahirah•","OMR 4,250",767 SQM,N/A,N/A
للبيع ارض سكنية في مدينة النهضة مربع 6 (البريد),"Al Amarat, Muscat•","OMR 25,000",600 SQM,N/A,N/A
ارض سكنية البريمي الغريفة,"Al Buraimi, Al Buraimi•","OMR 5,000",750 SQM,N/A,N/A
ارض للبيع سكنية بركاء,"Barka, Al Batinah•","OMR 20,000",645 SQM,N/A,N/A
ارض في العامرات التاسعة,"Al Amarat, Muscat•","OMR 28,000",600 SQM,N/A,N/A
